epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.639,0.80594,1.67018,0.92764,0.9907,0.9874,0.99438,0.89639,0.44626,1.08196,0.80873,0.000548258,0.000548258,0.000548258
2,448.705,0.49258,0.51742,0.82876,0.9999,0.99969,0.995,0.91746,0.38336,0.47153,0.79356,0.00108207,0.00108207,0.00108207
3,680.333,0.48,0.46173,0.82278,0.99897,0.99908,0.995,0.91507,0.41817,0.4332,0.79837,0.00159387,0.00159387,0.00159387
4,898.481,0.43144,0.43181,0.81672,0.99991,1,0.995,0.94503,0.33279,0.37861,0.78347,0.00156798,0.00156798,0.00156798
5,1132.18,0.42286,0.39252,0.81381,0.99959,1,0.995,0.95199,0.32747,0.34175,0.78282,0.00153497,0.00153497,0.00153497
6,1379.43,0.40691,0.36794,0.80794,0.99981,1,0.995,0.92374,0.39256,0.34359,0.7913,0.00150197,0.00150197,0.00150197
7,1609.64,0.40446,0.35971,0.80853,0.99995,1,0.995,0.92748,0.35782,0.32717,0.7835,0.00146896,0.00146896,0.00146896
8,1858.92,0.39121,0.34574,0.80811,0.99998,0.99997,0.995,0.93926,0.33402,0.30342,0.78286,0.00143595,0.00143595,0.00143595
9,2074.8,0.36096,0.32187,0.80301,0.99992,1,0.995,0.93924,0.34745,0.29521,0.78478,0.00140295,0.00140295,0.00140295
10,2288.35,0.35893,0.31594,0.80118,0.99988,1,0.995,0.95424,0.28839,0.29901,0.77872,0.00136994,0.00136994,0.00136994
11,2501.14,0.36076,0.30963,0.8016,0.99764,0.99939,0.99493,0.97196,0.2566,0.29682,0.77808,0.00133693,0.00133693,0.00133693
12,2712.47,0.35001,0.3009,0.80048,0.99143,0.99311,0.99485,0.9798,0.24704,0.29523,0.7753,0.00130393,0.00130393,0.00130393
13,2923.94,0.35121,0.29786,0.80146,0.99965,1,0.995,0.92426,0.38013,0.28844,0.78537,0.00127092,0.00127092,0.00127092
14,3135.07,0.34986,0.29288,0.80016,0.9999,1,0.995,0.97391,0.2721,0.25249,0.77678,0.00123791,0.00123791,0.00123791
15,3346.59,0.3203,0.27915,0.79674,0.9999,1,0.995,0.98317,0.22542,0.24028,0.77388,0.00120491,0.00120491,0.00120491
16,3557.49,0.32277,0.27033,0.79631,0.99993,1,0.995,0.9621,0.2831,0.23748,0.77808,0.0011719,0.0011719,0.0011719
17,3769.87,0.34075,0.27423,0.79776,0.99916,1,0.995,0.98592,0.20809,0.25155,0.77217,0.00113889,0.00113889,0.00113889
18,3981.21,0.33231,0.27009,0.79933,0.99992,0.99904,0.995,0.98761,0.21552,0.24064,0.7711,0.00110589,0.00110589,0.00110589
19,4194.57,0.33636,0.26753,0.7966,0.9996,1,0.995,0.98994,0.19204,0.20417,0.7693,0.00107288,0.00107288,0.00107288
20,4407.18,0.31445,0.25504,0.7964,0.99995,1,0.995,0.9839,0.21936,0.20648,0.77149,0.00103987,0.00103987,0.00103987
21,4619.79,0.30613,0.24789,0.79481,0.99988,0.99999,0.995,0.97504,0.24002,0.20797,0.77378,0.00100687,0.00100687,0.00100687
22,4832.78,0.31547,0.25397,0.79548,0.99991,1,0.995,0.97576,0.23076,0.21222,0.77216,0.000973861,0.000973861,0.000973861
23,5043.53,0.29907,0.24168,0.79369,0.99996,1,0.995,0.98418,0.23535,0.20017,0.77193,0.000940855,0.000940855,0.000940855
24,5257.3,0.30555,0.24397,0.79546,0.99996,1,0.995,0.98815,0.21221,0.19774,0.77201,0.000907848,0.000907848,0.000907848
25,5468.6,0.28893,0.23522,0.79389,0.99994,0.99988,0.995,0.98668,0.22198,0.18971,0.76963,0.000874842,0.000874842,0.000874842
26,5680.08,0.29086,0.23409,0.79231,0.99991,1,0.995,0.97263,0.27326,0.20157,0.77467,0.000841835,0.000841835,0.000841835
27,5896.59,0.28341,0.22834,0.79315,0.99991,0.99997,0.995,0.9545,0.31602,0.22642,0.77717,0.000808828,0.000808828,0.000808828
28,6109.25,0.27828,0.22126,0.79396,0.99995,1,0.995,0.98548,0.21317,0.17663,0.77121,0.000775822,0.000775822,0.000775822
29,6332.51,0.27479,0.22138,0.79122,0.99997,1,0.995,0.9846,0.23499,0.17446,0.77076,0.000742815,0.000742815,0.000742815
30,6544.85,0.26815,0.21958,0.79188,0.99993,1,0.995,0.98281,0.22966,0.18485,0.77142,0.000709809,0.000709809,0.000709809
31,6755.1,0.26111,0.21596,0.79094,0.99994,1,0.995,0.97987,0.24423,0.17973,0.77063,0.000676802,0.000676802,0.000676802
32,6964.6,0.25888,0.21303,0.78939,0.99991,1,0.995,0.98918,0.19206,0.17257,0.76742,0.000643795,0.000643795,0.000643795
33,7174.16,0.25943,0.21067,0.78948,0.99996,1,0.995,0.99089,0.18215,0.16273,0.76732,0.000610789,0.000610789,0.000610789
34,7384.32,0.25562,0.20664,0.78996,0.99995,1,0.995,0.99392,0.15261,0.15479,0.76578,0.000577782,0.000577782,0.000577782
35,7594.77,0.24742,0.20169,0.79008,0.99995,1,0.995,0.99015,0.199,0.16396,0.76914,0.000544776,0.000544776,0.000544776
36,7804.62,0.23736,0.19657,0.78776,0.99995,1,0.995,0.95457,0.28799,0.18484,0.77702,0.000511769,0.000511769,0.000511769
37,8021.53,0.22972,0.19382,0.78789,0.99995,1,0.995,0.99246,0.17856,0.15352,0.76695,0.000478762,0.000478762,0.000478762
38,8242.9,0.22827,0.18981,0.78929,0.99996,1,0.995,0.98267,0.24506,0.16559,0.77136,0.000445756,0.000445756,0.000445756
39,8463.5,0.23826,0.19182,0.78723,0.99995,1,0.995,0.9931,0.17494,0.14921,0.767,0.000412749,0.000412749,0.000412749
40,8683.82,0.21812,0.18275,0.78773,0.99995,1,0.995,0.99072,0.19315,0.14783,0.76865,0.000379743,0.000379743,0.000379743
41,8899.38,0.19904,0.16977,0.77863,0.99995,0.99998,0.995,0.99022,0.18929,0.16603,0.7659,0.000346736,0.000346736,0.000346736
42,9115.8,0.19854,0.16894,0.77647,0.99993,1,0.995,0.99052,0.19237,0.15844,0.76792,0.000313729,0.000313729,0.000313729
43,9375.48,0.19453,0.16488,0.77596,0.99996,1,0.995,0.99272,0.16788,0.14896,0.76499,0.000280723,0.000280723,0.000280723
44,9599.61,0.18589,0.15908,0.77466,0.99996,1,0.995,0.99136,0.19077,0.1475,0.7664,0.000247716,0.000247716,0.000247716
45,9802.71,0.18603,0.15619,0.77483,0.99992,1,0.995,0.99241,0.18294,0.14331,0.76661,0.00021471,0.00021471,0.00021471
46,10005.4,0.17953,0.1516,0.77545,0.99997,1,0.995,0.99023,0.17407,0.13707,0.76653,0.000181703,0.000181703,0.000181703
47,10207.6,0.16749,0.14637,0.7735,0.99997,1,0.995,0.98959,0.18476,0.13911,0.76763,0.000148696,0.000148696,0.000148696
48,10409.9,0.16801,0.14492,0.77544,0.99997,1,0.995,0.99405,0.16274,0.13291,0.76589,0.00011569,0.00011569,0.00011569
49,10611.2,0.16533,0.14355,0.77508,0.99996,1,0.995,0.99142,0.16945,0.13315,0.76662,8.26832e-05,8.26832e-05,8.26832e-05
50,10813.1,0.16472,0.14094,0.77555,0.99997,1,0.995,0.99477,0.14087,0.1232,0.76495,4.96766e-05,4.96766e-05,4.96766e-05
